feature,importance
senator writing,1.5388204
essay,0.5059567
student_name,0.4982174
traffic congestion,0.3726185
writing,0.35018972
. al,0.3233734
", i ",0.17739706
 so ,0.1734198
dont,0.17057617
percent,0.16238123
clus,0.13334575
today express,0.1271249
sincerely,0.12522498
 imp,0.11421861
writing today,0.11111666
china,0.10015656
. f,0.09959209
ntia,0.09750125
wou,0.09674476
en t,0.093369946
 do,0.08408985
 bei,0.08170505
t's,0.08134637
thin,0.07826768
they,0.0753002
ll ,0.07383207
judge richard,0.073587716
thank,0.073325865
what,0.072717994
"ike,",0.07075427
climate,0.07068534
ura,0.067771494
", i",0.06731129
most,0.06692724
ecau,0.0661828
o t,0.06297905
"ke, ",0.06286295
he s,0.059924122
summer projects,0.059699245
 ve,0.05851045
fac,0.05822488
 wha,0.057565246
potential,0.05500114
s an,0.054820083
ovid,0.05428125
respiratory,0.05296606
beca,0.052346747
" """,0.05193419
oin,0.05186424
ll t,0.051187944
t',0.05042997
will,0.049990304
", w",0.048350345
go ,0.045567796
express,0.045291685
conclusion,0.04483941
ld b,0.044638153
goals,0.04401162
hey,0.043630958
iti,0.04302851
t th,0.042836256
oing,0.042453427
many,0.042126037
"ion,",0.041448325
po,0.04081066
ar ,0.04072885
g w,0.039200306
ppor,0.038925257
paragraph,0.03870136
nci,0.038508523
"lly,",0.037942573
t's ,0.03783091
significant,0.037182868
n y,0.036712524
't,0.036233537
 wer,0.035677467
t wh,0.035043254
eng,0.034819096
man,0.034399085
"y, ",0.0343021
going,0.03364804
. b,0.033518508
schools,0.03209552
 ver,0.031606853
 get,0.03134705
gu,0.03125407
put,0.030775882
ause,0.030610679
lus,0.030588247
 y,0.03013999
"s, ",0.030030796
benefits,0.029893244
s we,0.029666152
ell ,0.02953662
ery ,0.029522268
"d, ",0.029476997
pi,0.029314624
"ly,",0.02928731
oul,0.028811414
ou ,0.027472941
student,0.027090605
student confused,0.027028674
tate,0.02681745
ence,0.026796598
 use,0.026447276
tiv,0.02625319
cess,0.025275962
f t,0.02502505
 na,0.024856208
 it',0.024702542
help reduce,0.02457896
houg,0.024481611
then,0.02433583
was ,0.024181236
sid,0.024109894
if ,0.02388558
uld,0.023808187
 at ,0.023413444
 go ,0.023318937
if t,0.023169255
modify lesson,0.023153575
conc,0.022999454
itu,0.02283035
au,0.022761608
it's,0.022614282
very,0.022487104
ote,0.02218343
 ro,0.022094188
nasa,0.022053713
ould,0.02198866
program,0.021744136
kid,0.021659905
say ,0.021538515
people advice,0.02135219
k th,0.020797918
eca,0.020487111
students,0.020408906
l th,0.02023637
sn,0.019774582
says,0.019696314
ven ,0.019672088
agr,0.019268874
"e, ",0.019035421
additionally,0.018983569
privacy,0.018926231
", a",0.018918822
 2,0.018658958
ati,0.018520257
caus,0.01846137
dn,0.018222991
phones capacity,0.017884567
quality,0.01780028
las,0.017521039
 a g,0.017484907
air quality,0.017268987
 add,0.017188549
? ,0.017057097
climate change,0.016823439
classroom computer,0.016818097
son ,0.016724106
may ,0.016663328
f th,0.016552644
away stress,0.016528718
 say,0.016232256
ask,0.015914973
of t,0.015341535
hom,0.015315561
"ver,",0.01516263
e ti,0.015146025
car,0.0149247
 yo,0.014922364
ces,0.014793843
t wo,0.014792616
hem ,0.014735552
"o, ",0.0145935
port,0.01458389
use,0.014572578
sy,0.014527691
support,0.01449927
 me,0.014362826
use,0.014140063
. an,0.013970419
 hu,0.013882128
"y,",0.013880585
ges,0.013877252
 pi,0.013628226
ery,0.013614803
argue,0.013152929
he a,0.013144984
car ,0.0128012765
emerson,0.012776916
rst,0.012731931
mpo,0.01254927
rge,0.012526896
vice,0.012469457
rg,0.012383117
approach,0.01233097
confused,0.012281533
 im,0.012236648
he p,0.0122298775
u ,0.012198289
ld ,0.012185467
 wou,0.012093795
rtan,0.011989472
probably,0.011912124
onsi,0.0118193785
res,0.01168544
oa,0.011651739
tru,0.011614077
st ,0.0116058085
states,0.0114595285
atin,0.011436413
 you,0.01143247
degrees,0.011330661
nd p,0.011289608
 li,0.01123275
interests,0.0111955255
", l",0.011161467
 hav,0.011147159
like,0.011131611
muscles,0.011075659
consider,0.011024353
just,0.011000541
con,0.0109967785
enc,0.0108789345
ll b,0.0108439615
y th,0.010750922
 es,0.010670466
sage,0.010604586
sign,0.010523175
es. ,0.010516099
s v,0.010441223
y w,0.010330556
was,0.010252294
gree,0.01024447
in t,0.010185612
wan,0.0101201935
"ly, ",0.010083782
s sh,0.01004335
e ac,0.009893906
urge,0.009772009
're,0.009771349
", an",0.009735552
you ,0.009721075
vic,0.00971364
a st,0.009620191
e te,0.009576306
t yo,0.009498253
ar u,0.009480362
nd e,0.009351204
pho,0.0093328
"on, ",0.009076961
dent,0.009025813
voting,0.009001317
 goi,0.008992507
. ho,0.008904263
ple ,0.008823491
expe,0.008817423
den,0.0087918835
any ,0.008786352
erosion,0.008758855
ienc,0.008678739
vehicle,0.008581793
were,0.008540639
people,0.008474151
tive,0.008437527
tial,0.008373629
benefit,0.008360663
kids,0.00831265
p th,0.0081805745
 ask,0.008092274
div,0.008079059
he f,0.007996494
face,0.007987853
cus,0.007970157
succ,0.007891872
cce,0.00788177
ant ,0.007838632
cipa,0.0077572437
addi,0.0077485605
xt,0.0076926295
dem,0.007689667
bec,0.007562232
hile,0.0075434027
ou c,0.007507829
 bec,0.007466606
"o,",0.0073981085
", y",0.007244306
 en,0.007243886
 my ,0.0071404306
"ke,",0.007127462
anc,0.007070515
achieve,0.0070447694
ral,0.006998123
s p,0.0069666947
this,0.00685324
spe,0.0067991754
go,0.0067845024
is p,0.006697683
ng w,0.0066523193
vid,0.0066298377
esi,0.0066127023
ucce,0.0065677534
iev,0.006520813
 pho,0.0065206266
reduce,0.0065080686
cc,0.0062830304
met,0.006252542
ude,0.006196556
lead,0.0061637014
t f,0.0060270773
had ,0.0060077584
 exp,0.005978433
 res,0.0059294766
introduction,0.0059102094
der,0.0058941715
wha,0.0058823237
es.,0.0058295256
t is,0.005791001
earn,0.005786237
ave ,0.0057738954
home,0.005772713
gn,0.0057602557
huma,0.0057075457
's ,0.0056827855
ort,0.0056263595
improve,0.0055814143
o th,0.005578871
fic,0.005513319
able,0.005467606
text,0.0054581715
humans,0.005441436
 an ,0.005403004
d n,0.00528619
kids,0.005281037
afte,0.005275232
s w,0.005268139
 po,0.0052543734
nall,0.0052408413
on w,0.005192398
mp,0.005190147
ays ,0.0051794103
es f,0.005124918
ecti,0.0050715697
do,0.005033871
ars ,0.005025151
cars,0.0050052884
ys ,0.0049758963
projects,0.004968591
ona,0.004928534
dear,0.004912795
no ,0.004906188
am,0.004896271
e is,0.0048123877
stud,0.00479793
uld ,0.004739901
 ven,0.0047181416
 sin,0.004686849
mos,0.004682743
 kid,0.004673037
provide,0.004654209
designed,0.004524319
orts,0.0045023565
ts c,0.004484836
peri,0.0044825966
hil,0.004467751
ieve,0.0044125654
 gra,0.0044047637
unique,0.0043326253
 pl,0.004330448
len,0.0042854
 go,0.004261772
fair,0.0042360574
. it,0.004216799
w t,0.004205745
erie,0.004154858
does,0.0041478686
have,0.00413613
sag,0.004113988
ny,0.004106094
cal ,0.0040918826
uman,0.004067366
nti,0.0040586297
year,0.0040144566
picture,0.0040057185
experiences,0.003996562
", yo",0.0039360086
ars,0.003852123
lve,0.0038500805
ear,0.0038480766
electors,0.003817251
's,0.0038039663
insights,0.0037847525
k ,0.0037806465
thing,0.0037387635
school,0.0037277592
o d,0.0036855654
stated,0.003665598
paris,0.0036462587
smog,0.0036259652
 i ,0.0036246693
 gro,0.003605851
writing essay,0.0035971715
r c,0.003581353
ts o,0.0035207935
ere ,0.0035057166
oe,0.0034940774
fun,0.0034861306
woul,0.0034811802
ts.,0.0034352352
ne ,0.0033517533
ure,0.003350804
", p",0.0033303292
ven,0.003324141
can ,0.0032983054
ng c,0.0032681618
ful,0.0032649501
 bi,0.0032611878
u a,0.003260958
 sho,0.0032310893
o be,0.0032300488
rade,0.0032195516
whil,0.0031898296
op,0.0031176328
 wo,0.0030907951
jec,0.0030651109
or s,0.0030316599
usi,0.0030267641
. if,0.0030232049
view,0.00302023
ems,0.00299558
hu,0.0029750564
ons,0.0029748073
a c,0.0029571443
 sup,0.0029407174
sig,0.0029403747
sup,0.0029316416
rie,0.0029314677
 peo,0.0029207966
stat,0.002901612
ack,0.00288932
 pro,0.00288426
f a ,0.0028746263
 j,0.0028589692
 ev,0.0028290148
has ,0.0027926276
unde,0.0027831355
d p,0.0027721503
rs a,0.0027699678
 pe,0.0027301013
come,0.0027241183
net,0.0027153082
ulti,0.0026962408
ensures,0.002693803
adventure,0.0026485242
ant,0.0026473408
men,0.0026343854
ual,0.002605391
vin,0.0026015965
dit,0.002591628
ll h,0.0025792406
cau,0.0025584097
ts a,0.0025389774
ed s,0.0025389297
ts ,0.0025380612
n o,0.0025299713
ise,0.0025129365
to d,0.0025056284
 up,0.0025033788
 jo,0.0024991224
a l,0.002491451
 mo,0.0024852552
here,0.0024844976
give,0.0024739054
 bu,0.0024712584
hink,0.0024531577
", we",0.0024449846
 du,0.0024332767
or t,0.0024258776
roa,0.002420042
he m,0.0024033885
s al,0.0023895267
oi,0.0023834219
o u,0.002372415
lity,0.0023559134
red,0.0023305274
ase,0.0023254633
wev,0.0023235993
'r,0.0023200067
educ,0.002294471
e go,0.0022930347
ult,0.0022869145
 cit,0.0022786802
y an,0.0022725947
europe,0.0022711004
t do,0.002267823
ink ,0.002266437
icl,0.0022605837
 my,0.0022586184
orta,0.002240506
lear,0.0022326023
vel,0.0022259983
ver ,0.0022177454
 dr,0.0022106648
ded,0.0022009853
 lea,0.0021997266
sports,0.002196466
health,0.0021900383
ensure,0.0021885738
mig,0.0021717953
my ,0.0021649094
he i,0.0021646882
 ru,0.0021344603
lu,0.002119954
ug,0.0021194702
computer,0.002113714
tense,0.0020950977
mpor,0.0020874485
 wan,0.0020872047
ake ,0.0020787655
ob,0.0020754791
 soc,0.0020704877
nal,0.0020606741
 us ,0.0020531276
way,0.002051654
tude,0.0020389594
su,0.0020283095
na,0.0019838426
 si,0.0019822118
who ,0.0019735417
rs ,0.0019688525
nce,0.0019617022
cip,0.0019570442
cho,0.0019384699
ey h,0.0019344606
nsi,0.001928936
use ,0.0019110823
it w,0.0019094424
day,0.0019026574
add,0.0018944714
grade student,0.0018720378
scho,0.0018669085
imp,0.0018616344
engagement,0.0018455049
be ,0.0018282644
app,0.0018264732
t h,0.0018111905
geological,0.0018090128
nclu,0.001797541
rse,0.001794754
r g,0.001794079
iona,0.0017612001
ppo,0.0017598151
tan,0.0017587626
success,0.001757181
 a h,0.0017135482
 wa,0.0017086421
urs,0.001705797
informed,0.0016879971
"r, ",0.0016780958
emo,0.001677347
e b,0.0016753006
public,0.0016559483
know,0.0016495982
ut ,0.0016347442
periods,0.0016267141
 abl,0.0016220924
earth,0.0016190647
sen,0.0016105556
""" ",0.0016059302
bou,0.0016025527
less,0.0016016521
 hap,0.0016012487
 i w,0.0015989203
sc,0.0015930441
school students,0.0015685376
e d,0.0015528048
tere,0.0015472699
nus,0.0015402993
kil,0.0015349885
my,0.0015340302
ud,0.001533813
. m,0.0015332327
 cu,0.001533137
ps,0.001519059
shou,0.0014910558
rit,0.0014743786
dan,0.0014693037
school day,0.001465089
ab,0.001453366
ot ,0.0014467693
 if,0.0013969847
he t,0.0013961517
rat,0.0013896527
ign,0.0013832239
he c,0.0013779583
ub,0.0013625659
eo,0.0013567716
uma,0.0013562107
n co,0.0013513605
dua,0.0013372997
make,0.0013247265
is a,0.0013215691
onc,0.0013148509
n't ,0.0013135034
rom,0.001302738
eve ,0.0013025728
isi,0.0012818694
 abo,0.0012809025
 was,0.0012747655
help,0.001274119
 no,0.0012719748
sm,0.001260812
ru,0.0012398147
at t,0.0012053109
you,0.0011849228
t b,0.0011728188
is w,0.0011722555
end,0.0011621591
owev,0.0011516043
 te,0.0011496732
get ,0.0011362964
a g,0.0011351709
wa,0.0011247989
da,0.0011238421
 str,0.0011237517
on t,0.0011090854
exa,0.0011009735
 lim,0.0010951199
w ,0.0010911323
ass ,0.0010858629
mmu,0.0010851114
its,0.0010803244
hav,0.0010772942
reason,0.0010714364
ina,0.0010685372
 con,0.0010670894
tend,0.0010608379
"d,",0.001050468
ba,0.0010445893
l f,0.0010373652
tant,0.0010369206
firstly,0.0010320423
 ge,0.0010317938
ucc,0.001029953
r re,0.0010266232
"s, a",0.0010261434
ason,0.0010191561
tl,0.0010095683
 day,0.0009968159
 sc,0.0009904702
ive,0.0009872754
 dri,0.000985033
sustainable,0.0009820204
arn ,0.0009805537
oti,0.0009769975
enti,0.0009755543
"er, ",0.00097423815
we,0.0009695736
ph,0.00096503174
ght,0.00095918396
read,0.00095863425
pat,0.00095688534
cces,0.00094967696
seagoing cowboy,0.0009418959
otes,0.0009391344
elp ,0.00093748857
 its,0.0009331044
tra,0.0009319576
 wil,0.000928961
onal,0.0009174441
t it,0.0009137648
pla,0.0009097237
tin,0.0009018954
principal,0.00089624943
 be ,0.0008951534
g a ,0.0008939172
 sk,0.0008929655
de ,0.0008926352
nk ,0.0008847486
y wi,0.00088455365
eme,0.00088286895
let tell,0.0008814908
accomplishment,0.0008709188
ust,0.000867909
ei,0.00086716894
vi,0.00085917616
are ,0.0008514034
f p,0.00084063475
m a,0.00083587447
iv,0.0008327141
 ti,0.00082297507
sa,0.0008181423
ife,0.00081613596
one,0.00080729707
e st,0.0008062692
gi,0.0008042308
eas,0.0007990398
va,0.0007901647
nl,0.000787109
".""",0.00078275154
ust ,0.00077080046
ies,0.00075802417
538,0.0007572837
ime,0.0007489709
ip,0.0007481734
as ,0.00074790523
can,0.00073285354
edu,0.0007248772
notes,0.0007167473
o do,0.0007114146
d r,0.0007095164
contribute,0.0007074278
people argue,0.0007065383
development,0.0007027413
g ca,0.00070257724
choo,0.0007005619
ogy ,0.0006988739
duc,0.00069065904
th t,0.00068658625
ses ,0.0006860423
 but,0.0006821781
s d,0.00068014464
it',0.0006771632
hou,0.0006753112
e a ,0.000672009
president,0.0006652222
 pop,0.00066288345
an b,0.00065556105
 way,0.00065515324
d.,0.00065378257
reducing,0.0006471594
str,0.00064593647
y h,0.00064514385
 out,0.0006449577
d re,0.00064001424
"e,",0.00063712307
ov,0.0006322124
ealt,0.00062166376
challenges,0.00061604567
lan,0.00061251293
tent,0.0006088072
happ,0.00060809427
ill ,0.00060745847
said,0.0006022892
tio,0.00060111226
nd i,0.0005906917
e ou,0.0005904321
gro,0.0005842407
o ma,0.0005807882
es c,0.0005776281
bike,0.000573047
d s,0.0005700571
t s,0.0005603659
ood,0.0005588378
y p,0.0005586467
osi,0.00055455207
esp,0.0005539923
ey w,0.0005504194
ys,0.0005501673
project,0.000542068
dri,0.00054091134
pol,0.0005343464
face,0.00053381565
 lik,0.0005326926
ce ,0.00052949484
call,0.0005284633
l s,0.0005275286
eq,0.0005157757
ends,0.000515438
ey ,0.00051138917
 ex,0.00050719554
 a m,0.0004990095
 car,0.00049889565
tie,0.00049297867
age,0.0004900753
onl,0.00048606854
uri,0.0004830735
eal,0.00047928025
gin,0.00047917684
n',0.00047599524
itio,0.00047168962
able,0.00045817235
d be,0.00045623168
comm,0.00045514407
important,0.00045063204
 mi,0.00044687244
tr,0.00044474105
ial ,0.00044163663
lt,0.00044064422
af,0.0004371554
tes,0.0004326355
rn ,0.0004293608
cars,0.00042837046
lead,0.0004282253
 v,0.0004258865
fu,0.00042090198
activity,0.00041700888
idea,0.00041640177
ag,0.0004156943
", wh",0.0004154539
tur,0.00041324765
want,0.00041321552
efi,0.00040961965
ir,0.00040711623
g t,0.00040265336
 ye,0.00039829378
e dr,0.00039717773
ui,0.00039055257
e y,0.00038729425
et ,0.00038107505
nt o,0.00037652956
r s,0.00037341184
pro,0.0003721409
ice,0.00036592886
een,0.0003616504
 rea,0.00035486944
 has,0.0003502369
e m,0.00034839148
ig,0.00034508784
arti,0.00033606085
mi,0.0003351886
r st,0.00033311007
yo,0.00033194455
d co,0.00032957087
s i,0.0003255175
owe,0.00032331023
ss ,0.00031327776
yi,0.00031218788
pin,0.00030915305
now,0.0003069378
to s,0.00030603138
nu,0.00030194095
college process,0.00029004517
favor,0.0002891426
vide,0.00028567898
risks,0.000282456
ial,0.00027693625
lace,0.0002743837
people believe,0.00027269506
ng p,0.0002692704
n be,0.00026351455
ugh,0.0002622486
ight,0.00026168404
body,0.0002599339
mak,0.00025918998
