Model,Perturbation Rate,Recall (AI Detection)
Logistic Regression,0%,0.9836190476190476
Logistic Regression,5%,0.9809523809523809
Logistic Regression,10%,0.9782857142857143
Logistic Regression,20%,0.963047619047619
Naive Bayes,0%,0.9276190476190476
Naive Bayes,5%,0.915047619047619
Naive Bayes,10%,0.9066666666666666
Naive Bayes,20%,0.8822857142857143
Random Forest,0%,0.9459047619047619
Random Forest,5%,0.9413333333333334
Random Forest,10%,0.9356190476190476
Random Forest,20%,0.915047619047619
XGBoost,0%,0.9767619047619047
XGBoost,5%,0.971047619047619
XGBoost,10%,0.9611428571428572
XGBoost,20%,0.92
